"x"
"4"
"7"
"0"
"1"
"1"
"1"
"0"
"0"
"0"
"1"
"3"
"0"
"8"
"3"
"0"
"2"
"5"
"15"
"1"
"4"
"1"
"1"
"18"
"1"
"0"
"6"
"9"
"11"
"14"
"1"
"1"
"0"
"2"
"7"
"1"
"0"
"6"
"15"
"2"
"0"
"6"
"6"
"3"
"2"
"14"
"2"
"6"
"0"
"14"
"1"
"7"
"5"
"4"
"3"
"13"
"17"
"3"
"0"
"0"
"3"
"5"
"0"
"2"
"15"
"3"
"3"
"1"
"11"
"1"
"1"
"0"
"0"
"4"
"1"
"7"
"9"
"7"
"7"
"7"
"14"
"16"
"13"
"0"
"20"
"2"
"4"
"0"
"2"
"6"
"3"
"13"
"12"
"1"
"0"
"0"
"4"
"3"
"9"
"16"
"3"
"4"
"13"
"1"
"0"
"8"
"0"
"6"
"3"
"0"
"0"
"3"
"15"
"0"
"0"
"0"
"17"
"7"
"0"
"8"
"0"
"0"
"2"
"8"
"3"
"3"
"1"
"0"
"17"
"8"
"3"
"0"
"2"
"9"
"4"
"0"
"18"
"3"
"7"
"3"
"8"
"2"
"11"
"0"
"1"
"8"
"15"
"17"
"0"
"2"
"13"
"1"
"7"
"9"
"2"
"1"
"7"
"2"
"5"
"0"
"1"
"0"
"2"
"5"
"7"
"9"
"1"
"0"
"2"
"5"
"3"
"6"
"2"
"2"
"6"
"0"
"7"
"5"
"7"
"2"
"11"
"0"
"6"
"3"
"1"
"2"
"5"
"0"
"0"
"5"
"7"
"5"
"16"
"2"
"9"
"6"
"11"
"1"
"3"
"0"
"3"
"4"
"3"
"7"
"0"
"0"
"5"
"7"
"11"
"1"
"0"
"10"
"10"
"2"
"14"
"2"
"2"
"4"
"8"
"2"
"6"
"7"
"8"
"0"
"2"
"2"
"3"
"0"
"3"
"12"
"0"
"1"
"0"
"7"
"3"
"1"
"0"
"10"
"4"
"2"
"1"
"0"
"2"
"4"
"7"
"0"
"7"
"4"
"6"
"3"
"0"
"0"
"14"
"13"
"13"
"17"
"6"
"13"
"4"
"1"
"1"
"10"
"0"
"1"
"2"
"4"
"14"
"3"
"11"
"2"
"4"
"1"
"4"
"5"
"0"
"5"
"0"
"0"
"11"
"8"
"0"
"0"
"2"
"0"
"2"
"1"
"3"
"2"
"2"
"8"
"1"
"4"
"9"
"0"
"0"
"5"
"1"
"6"
"0"
"5"
"6"
"10"
"0"
"11"
"3"
"0"
"0"
"13"
"1"
"1"
"11"
"0"
"17"
"7"
"6"
"0"
"2"
"2"
"0"
"5"
"3"
"0"
"7"
"5"
"2"
"2"
"11"
"12"
"2"
"1"
"2"
"0"
"7"
"0"
"2"
"5"
"6"
"8"
"5"
"0"
"0"
"1"
"4"
"12"
"7"
"1"
"7"
"11"
"0"
"6"
"8"
"6"
"4"
"7"
"3"
"11"
"5"
"3"
"2"
"4"
"2"
"2"
"3"
"5"
"2"
"0"
"0"
"2"
"0"
"7"
"8"
"2"
"12"
"0"
"1"
"0"
"4"
"0"
"5"
"3"
"8"
"7"
"1"
"0"
"14"
"0"
"3"
"3"
"11"
"0"
"0"
"3"
"2"
"4"
"4"
"9"
"0"
"0"
"11"
